cz,czname,hhinc_mean2000,mean_commutetime2000,frac_coll_plus2000,frac_coll_plus2010,foreign_share2010,med_hhinc1990,med_hhinc2016,poor_share2010,poor_share2000,poor_share1990,share_white2010,share_black2010,share_hisp2010,share_asian2010,share_black2000,share_white2000,share_hisp2000,share_asian2000,gsmn_math_g3_2013,rent_twobed2015,singleparent_share2010,singleparent_share1990,singleparent_share2000,traveltime15_2010,emp2000,mail_return_rate2010,ln_wage_growth_hs_grad,popdensity2010,popdensity2000,job_growth_1990_2010,ann_avg_job_growth_2004_2013,job_density_2013,wrluri
100,Johnson City,59860.527,23.411057,0.16093114,0.18965542,0.017446142,23429.28604502216,40877.91306868338,0.17982559,0.1403583,0.15736394,0.93935162,0.026929308,0.019043196,0.0052240412,0.022396516,0.95735186,0.0093524652,0.0036093367,3.3339169,614.79083,0.31781429,0.17896432,0.25025192,0.33283123,0.55842197,83.475624,0.053652253,154.77071,146.33286,7.0584106,-0.0045253322,64.64209,-0.89741784
200,Morristown,59275.352,26.602575,0.11926994,0.13321449,0.037849862,22244.59831460279,40892.20225134844,0.17500085,0.14362594,0.15896535,0.9052102,0.023542965,0.054451689,0.0054114237,0.02104741,0.94341844,0.022516619,0.0036895475,3.0006671,609.19214,0.28815582,0.17784593,0.25609761,0.27680033,0.58887959,82.412758,0.060870294,150.41342,130.70915,34.191025,-0.0014466653,64.441742,-0.90867293
301,Middlesborough,43814.246,27.833965,0.090171635,0.10800749,0.0063506691,15142.87663676518,28856.24043530263,0.24855065,0.26818877,0.31351006,0.9601022,0.017704472,0.0070286314,0.0034519515,0.015546428,0.9661867,0.0061634914,0.0031225246,2.660032,479.61505,0.31828013,0.19572031,0.26695865,0.36225104,0.44264627,72.750984,-0.027683139,66.661812,65.662712,7.9892364,-0.0041645179,21.706455,
302,Knoxville,71287.086,25.232512,0.22964355,0.26265728,0.033268381,28026.41270226572,51744.68287885793,0.15029365,0.13007838,0.14228685,0.88005483,0.064235002,0.030966457,0.011191444,0.055931833,0.91241187,0.011625143,0.0085430648,3.2328141,725.93762,0.2990973,0.18985604,0.2607922,0.26997578,0.58923465,82.772972,0.071443021,257.01471,229.47797,25.2276,7.6766781e-05,114.21898,-0.2880592
401,Winston-Salem,75770.578,24.261778,0.22249681,0.24923749,0.072342336,30602.93197422345,47956.93217867571,0.15142091,0.10602662,0.099552758,0.68965888,0.18538965,0.10233954,0.011115588,0.17201884,0.75442004,0.057752281,0.006759909,3.6197143,677.62054,0.33545193,0.21826845,0.2868259,0.30125517,0.62946784,81.118195,0.020393131,277.34424,248.05475,7.9306564,-3.7774724e-05,125.73418,-0.6892581
402,Martinsville,57043.449,24.090567,0.10375003,0.12040398,0.028802762,24921.83770707705,35189.430894497,0.1721528,0.13099132,0.11120854,0.71851218,0.22969627,0.040954407,0.0041791,0.22337052,0.73844367,0.029311845,0.0033426038,2.9812839,526.69897,0.41401517,0.23342842,0.31715462,0.32454556,0.56499165,83.799454,0.12188588,98.657661,105.83602,-29.175755,-0.011780691,38.210419,
500,Greensboro,73459.125,23.843529,0.20323785,0.22360179,0.068158463,29813.11287334445,47130.67952756984,0.16531391,0.10846167,0.098564394,0.65598625,0.23817343,0.072812028,0.014892972,0.21122204,0.72628021,0.03948972,0.0097195255,3.5389855,680.56177,0.35530698,0.21633781,0.29534495,0.30618104,0.63959771,81.194328,0.048212491,265.3107,239.65622,5.4620843,7.6397635e-05,121.15679,-0.2845391
601,North Wilkesboro,59851.461,25.915499,0.11601639,0.13671912,0.033097163,21575.50384877462,36261.59994204158,0.18711056,0.1224471,0.14654861,0.90049779,0.035416733,0.052607611,0.0037279681,0.032536913,0.92854458,0.031120643,0.0027593793,3.28966,528.64429,0.25863123,0.16351515,0.22963874,0.27843115,0.59402597,84.119705,-0.04487795,81.853622,76.227242,-5.5477529,-0.01170385,33.000343,
602,Galax,55223.191,25.97879,0.096239835,0.1225751,0.028268877,20333.09182421943,35329.19022454996,0.19079903,0.1421732,0.15983608,0.92219156,0.019506995,0.049943548,0.0019877157,0.025478205,0.93426543,0.032588318,0.0017917237,2.9999704,538.65808,0.31479022,0.17867257,0.23185627,0.30607262,0.56889629,85.222992,0.13861957,54.968044,55.751793,-8.7613401,-0.01290966,21.796038,
700,Spartanburg,67879.367,24.057863,0.170527,0.18276437,0.048659831,27445.68314060449,44562.3244063528,0.1595773,0.12079633,0.11349761,0.71287775,0.21128444,0.051639598,0.007956815,0.19625869,0.75950497,0.025392421,0.0064398996,3.034132,662.0611,0.33230689,0.21770656,0.30349818,0.29182026,0.60245889,79.119476,-0.0066010584,199.28851,181.57433,-1.9469939,0.0002862447,84.412354,-1.2602013
800,Gastonia,68308.711,25.688654,0.1356068,0.16948384,0.038907178,28321.39606976021,44281.41916182295,0.1719462,0.11261992,0.10235821,0.78468549,0.1466288,0.050177794,0.0059940931,0.13176909,0.82562649,0.0285057,0.0048052925,3.621891,647.41486,0.34806722,0.20824528,0.2827017,0.27084243,0.61614102,82.251495,0.093169756,267.62283,245.68648,-3.7938976,-0.00056111795,115.02445,-0.74645436
900,Charlotte,90042.938,28.093966,0.28185788,0.31148675,0.093851104,35077.00846697684,62093.40705349237,0.12786257,0.087413557,0.0840021,0.61515504,0.24738105,0.09525048,0.024162214,0.20744534,0.71777833,0.044533338,0.015902027,3.6861084,836.59399,0.32098579,0.19390461,0.2644259,0.24267581,0.67250466,80.347862,-0.048492219,390.97211,299.19128,43.398422,0.020714823,194.62387,-0.20583092
1001,Boone,56784.84,24.062191,0.26019433,0.29883659,0.027079485,18753.83926921221,35546.45487832874,0.2480067,0.19284011,0.22578101,0.92596418,0.024896694,0.031898532,0.0055422238,0.023491267,0.94861645,0.015539425,0.003722426,3.8826945,747.40302,0.25564846,0.17653511,0.23229997,0.42013222,0.54329747,80.494888,-0.057163317,101.52426,90.196739,22.225056,0.0094297035,45.332821,
1002,Morganton,59871.203,24.212797,0.11535745,0.14726613,0.039709106,23964.04151394604,39007.97903783113,0.17776467,0.11750209,0.11797566,0.86684978,0.051646437,0.05003396,0.0040502008,0.048845671,0.88937628,0.030702,0.0038207239,3.3093121,567.27905,0.29830971,0.19102114,0.25458717,0.32119492,0.59561521,81.913239,0.077267922,114.26171,111.19167,-5.3579245,-0.0087370491,46.144035,-0.51338261
1100,Hickory,73761.641,24.001591,0.15603444,0.18200478,0.049039744,29240.0680184738,49037.54727410131,0.13261086,0.08602871,0.081927128,0.80809498,0.094644971,0.067445889,0.0086919116,0.087606616,0.85208952,0.036744684,0.0061495616,3.6313705,658.57294,0.27248544,0.18801531,0.25469762,0.31518838,0.66670197,82.88401,0.021960309,254.68996,220.27567,6.7614365,-0.0014470764,112.27737,-0.59633404
1201,Franklin,61883.453,22.375767,0.16339493,0.2065163,0.056732576,20887.24866883092,39195.22843539583,0.1710912,0.12102541,0.15546486,0.89778477,0.013924858,0.070341446,0.0051915478,0.011659032,0.95148051,0.02482935,0.0029693914,3.9027259,683.23749,0.2881763,0.14878638,0.23357232,0.37997267,0.53000903,85.389549,-0.073593907,56.685547,50.658798,23.429102,-0.010239244,22.537355,
1202,Sylva,58278.672,22.000221,0.22401139,0.23900788,0.037271414,20116.63535408632,37826.87985042701,0.20929259,0.17334665,0.20131418,0.79072458,0.016446691,0.043921221,0.0056751356,0.016730523,0.81759524,0.015223647,0.0030837683,3.0434353,611.03229,0.31176743,0.21867678,0.28571558,0.43290216,0.54860955,80.075249,-0.1025428,64.517479,55.285511,19.070236,-0.012586212,19.503658,
1203,Asheville,67715.211,23.30859,0.22733606,0.27694228,0.054690551,25927.80826249127,47105.82984159428,0.13986532,0.1107633,0.1166328,0.8658123,0.051128075,0.061282068,0.0069449577,0.052517362,0.90132141,0.030279448,0.0045575909,3.8961344,753.23743,0.28786698,0.20072263,0.27224478,0.31813374,0.5802049,81.868263,-0.0079784803,191.47145,166.61336,25.535896,0.0076847989,88.149582,-0.61086994
1204,Andrews,57514.191,25.525919,0.13165851,0.18825032,0.022599339,19374.80729804077,38203.11891265138,0.14069964,0.13390589,0.18456468,0.94288415,0.01042114,0.023919951,0.0032923932,0.010108331,0.96271008,0.0098203439,0.0023643533,3.5526826,657.46643,0.19289778,0.15069224,0.22611256,0.35980612,0.50084198,85.699936,-0.13529091,60.291801,51.508415,35.469975,-0.0075106905,22.644163,
1301,Bennettsville,52021.027,25.632549,0.089364022,0.10273233,0.022307886,20451.2204943882,34067.11921973912,0.24580216,0.20527479,0.21540876,0.53453952,0.40334624,0.032590166,0.0032270311,0.39825678,0.56306982,0.016981248,0.0024610665,2.4938629,520.33154,0.44504222,0.28122249,0.3820394,0.33336323,0.52254504,81.353859,0.11912642,59.172676,55.981274,-11.230371,0.0034808062,21.995716,
1302,Florence,63972.953,25.418871,0.16712135,0.18879704,0.041868936,24231.1875159984,41692.25016419428,0.19285041,0.16138284,0.1848332,0.62501693,0.31630006,0.03944926,0.007690141,0.31281298,0.65429783,0.018151473,0.0052335826,2.813556,684.36786,0.4067592,0.24483089,0.34535369,0.33781689,0.58163857,80.893082,0.031106316,123.53195,106.87226,19.049173,0.0032602034,51.350006,-0.83076859
1400,Fayetteville,64324.684,24.563385,0.16883197,0.18924439,0.054960929,24982.1293832647,42615.29373554818,0.20447086,0.15505256,0.15823342,0.48097062,0.31017798,0.085255481,0.011938463,0.29757029,0.5281291,0.056249391,0.0097812647,3.2205884,685.72845,0.42618623,0.26112935,0.34174594,0.31326786,0.52370143,77.36348,0.077790588,184.07253,169.52132,10.12987,-0.0020446244,63.75563,-0.50833601
1500,Wilmington,69461.25,24.791988,0.21327898,0.25682631,0.044678561,25807.71830941566,48995.82017159752,0.16406019,0.14496186,0.1543531,0.73600703,0.1844742,0.054044858,0.0065758573,0.19913273,0.75588846,0.025155945,0.0045363014,3.5555098,809.10767,0.35995027,0.2330709,0.31185886,0.30751678,0.57523352,82.474586,0.082142703,122.47636,97.195923,46.267811,0.0096860453,54.121506,-0.83076334
