cz,czname,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_se,pooled_pooled_count,kfr_black_pooled_p25,kfr_black_pooled_p25_se,kfr_hisp_pooled_p25,kfr_hisp_pooled_p25_se,kfr_white_pooled_p25,kfr_white_pooled_p25_se,jail_black_pooled_p25,jail_black_pooled_p25_se,jail_hisp_pooled_p25,jail_hisp_pooled_p25_se,jail_white_pooled_p25,jail_white_pooled_p25_se,white_pooled_count,black_pooled_count,hisp_pooled_count,kfr_pooled_female_p25,kfr_pooled_female_p25_se,kfr_pooled_male_p25,kfr_pooled_male_p25_se,jail_pooled_female_p25,jail_pooled_female_p25_se,jail_pooled_male_p25,jail_pooled_male_p25_se,pooled_male_count,pooled_female_count,kfr_black_female_p25,kfr_black_female_p25_se,kfr_hisp_female_p25,kfr_hisp_female_p25_se,kfr_white_female_p25,kfr_white_female_p25_se,kfr_black_male_p25,kfr_black_male_p25_se,kfr_hisp_male_p25,kfr_hisp_male_p25_se,kfr_white_male_p25,kfr_white_male_p25_se,jail_black_female_p25,jail_black_female_p25_se,jail_hisp_female_p25,jail_hisp_female_p25_se,jail_white_female_p25,jail_white_female_p25_se,jail_black_male_p25,jail_black_male_p25_se,jail_hisp_male_p25,jail_hisp_male_p25_se,jail_white_male_p25,jail_white_male_p25_se,white_male_count,black_male_count,hisp_male_count,white_female_count,black_female_count,hisp_female_count
100,Johnson City,0.36425951,0.0017140553,0.024146512,0.0012303018,65394.867,0.30566585,0.0073291939,0.35628146,0.013914736,0.37713051,0.0019164158,0.070957921,0.010041914,0.0049577709,0.0021047948,0.021983333,0.0012085321,60192.375,2151.9985,1043.3511,0.37656775,0.0023743743,0.35234427,0.00245831,0.0098046791,0.0011861416,0.039043516,0.0022621953,33790.605,31601.564,0.32718021,0.010199838,0.36321464,0.018884126,0.3877362,0.0027174831,0.28381753,0.010325765,0.34901303,0.019329567,0.36668181,0.0027277207,0.017826619,0.0064621861,-0.0017383998,0.00098271447,0.0093324715,0.0012944862,0.13617581,0.019810628,0.011251038,0.0051207901,0.035138886,0.00217341,31015.438,1120.0574,512.98523,29177.33,1030.532,528.73157
200,Morristown,0.36348888,0.0023789536,0.030779902,0.0020088903,31520.754,0.32786188,0.013017873,0.34381938,0.016851613,0.37478155,0.0025906954,0.063630849,0.016089384,0.009441399,0.0063128779,0.029903328,0.0020666651,28543.424,872.25269,1078.3303,0.37578619,0.0033583897,0.35167435,0.0033196223,0.014245608,0.001630738,0.047277447,0.0034794726,16346.746,15173.242,0.33560711,0.016456194,0.32583687,0.019584166,0.38641578,0.0036742752,0.31891447,0.018194549,0.36843926,0.024864927,0.36337814,0.0036339185,0.0088596689,0.00787446,-8.4332685e-05,0.001297028,0.014763845,0.0021435139,0.11552773,0.029918309,0.026977101,0.01960478,0.04533571,0.0041271322,14770.065,448.39703,543.33228,13770.289,423.7341,521.21185
301,Middlesborough,0.37954086,0.0043152869,0.031916656,0.003820732,11554.734,0.34581968,0.03264121,0.3492485,0.038408116,0.39102951,0.0048328149,0.060724903,0.043320946,0.0032102473,0.0084276441,0.03117669,0.0039229598,10976.791,198.72382,111.40015,0.38823214,0.0061037205,0.37120914,0.0064366725,0.015407452,0.0030930787,0.049236983,0.0064446433,5745.4736,5811.8999,0.38965994,0.044690821,,,0.39948294,0.0068014679,0.30103114,0.043449759,0.42028442,0.060532566,0.38282335,0.0068302751,0.013389432,0.022395181,,,0.015388225,0.0040301858,,,0.0052321316,0.014413486,0.047002953,0.0079143755,5495.7251,96.062309,56.109978,5480.2344,102.17345,
302,Knoxville,0.36562887,0.0015636316,0.024405211,0.0011552661,76630.773,0.29435778,0.003563416,0.39004859,0.01066956,0.38633901,0.0018500134,0.059151739,0.0051552136,0.021155281,0.0061329766,0.019760521,0.0011173119,63132.328,8525.0049,1533.6669,0.37902331,0.002147571,0.35277426,0.0022292575,0.0079684323,0.00091949495,0.041572005,0.0022062531,39317.52,37314.801,0.31229207,0.0050711529,0.39020595,0.014502718,0.39776891,0.0026612622,0.27650642,0.0054329885,0.38962141,0.014655035,0.37502909,0.0026227506,0.01190976,0.0028483684,0.014141837,0.0066892421,0.0074987626,0.001017343,0.11642197,0.0097948676,0.026977934,0.010521049,0.032452621,0.002096086,32243.463,4416.3237,820.41443,30884.627,4111.8672,719.05774
401,Winston-Salem,0.3585453,0.0019610277,0.030839764,0.001757456,51182.789,0.3051528,0.0026807659,0.38897836,0.0084096221,0.40425551,0.0027202091,0.049845885,0.003284571,0.016758816,0.0044296621,0.018148448,0.001746836,26499.16,18085.848,6612.6162,0.37373129,0.0027306341,0.34340101,0.0029192534,0.004418382,0.00092132116,0.061334204,0.0034535914,25901.162,25269.561,0.3281756,0.0035996495,0.3926377,0.010942551,0.41184783,0.0039540972,0.28157952,0.0041130455,0.38405144,0.011600257,0.39593577,0.0041742306,0.005203357,0.001346059,5.7022586e-05,0.0003964029,0.0047317958,0.0011146921,0.1055536,0.0067750909,0.037764896,0.01078862,0.032660697,0.0032315499,13281.531,9181.0146,3282.2849,13204.405,8900.9834,3320.9861
402,Martinsville,0.36154455,0.0039113206,0.043098237,0.0039351061,12111.087,0.32100838,0.0059461878,0.42269021,0.028209271,0.3983196,0.0058341431,0.080257632,0.0087049063,-0.004911765,0.0036560516,0.022147942,0.0036676833,6923.6577,4277.0908,665.39722,0.37508053,0.0059707621,0.34764811,0.0056456835,0.0058043543,0.0020073778,0.083742335,0.0077057625,6192.9346,5919.606,0.34201714,0.0081799896,0.39533171,0.036490988,0.40467447,0.0083160279,0.29851106,0.0087384041,0.4608826,0.044336993,0.39287621,0.0082641542,0.0024157802,0.0019989947,0.0012914607,0.0055927141,0.0079795551,0.0031425112,0.17356406,0.017429186,0.0092500048,0.0097158924,0.036349203,0.0065726917,3571.9028,2157.8113,349.21817,3351.2598,2120.9531,315.8952
500,Greensboro,0.35171974,0.0012494627,0.034843579,0.0011069805,120975.87,0.30685589,0.0016289634,0.37678617,0.0060012857,0.39983058,0.0019234108,0.05504005,0.0020758845,0.013673551,0.0021878446,0.02002061,0.0012426904,59018.945,48424.879,9918.7578,0.36648583,0.0017298962,0.33713228,0.0018868302,0.0055513382,0.00061133108,0.066959299,0.002237506,61231.195,59746.023,0.32700637,0.0021798362,0.381661,0.007777852,0.40956083,0.0027107229,0.28573209,0.0025183861,0.37220705,0.0087236539,0.39097977,0.0027326066,0.0069488375,0.00099986978,0.0010298614,0.00052368344,0.0049925377,0.00087006582,0.11373218,0.0043232488,0.027103312,0.006306828,0.035401743,0.0022715381,29939.703,24293.789,5244.7544,29077.223,24121.289,4683.1572
601,North Wilkesboro,0.38417399,0.004473221,0.017806722,0.0025040463,11279.117,0.31939813,0.015343148,0.36348191,0.027036285,0.39885142,0.004723106,0.086315043,0.0231889,-0.0012484976,0.0023661449,0.01450952,0.0023085629,9954.9121,536.62805,586.94208,0.40056854,0.0064206184,0.36902085,0.0062523074,0.0043654284,0.0018358195,0.031111706,0.0049425452,5745.5552,5532.7217,0.35227177,0.021083839,0.35628289,0.034986041,0.41402152,0.0068028835,0.27689868,0.024210017,0.36377993,0.03793525,0.38536993,0.006529612,0.01428628,0.014426622,0.006874444,0.0084396768,0.0047228429,0.0016514241,0.20195083,0.05235463,-0.0014948451,0.0040395958,0.023724264,0.0043137562,5110.0996,234.09351,295.59106,4842.6479,301.83228,289.51187
602,Galax,0.38194925,0.0053205341,0.021598034,0.0033568838,8099.5791,0.28516734,0.023294738,0.38875449,0.029108761,0.39766058,0.005528606,0.12769949,0.047017738,0.011318993,0.014147922,0.017686054,0.0030413812,7204.0298,238.70296,600.0752,0.40285164,0.0075062006,0.3634167,0.0071804817,0.0051923562,0.0023752907,0.036969565,0.0063167647,4108.9165,3991.772,0.29028058,0.033599097,0.40996796,0.040787309,0.4172855,0.0080656325,0.29646951,0.034635596,0.3795788,0.044946227,0.37971583,0.0078193489,0.0567073,0.027832517,0.0011859183,0.0067187804,0.0034303979,0.0015968927,0.1565413,0.073061593,0.019690806,0.022752814,0.031008394,0.0049558389,3621.478,152.28236,342.44925,3585.7698,94.19339,263.13492
700,Spartanburg,0.35068363,0.0020071066,0.038436837,0.0020066828,44699.953,0.31125614,0.0027542079,0.37332815,0.011449544,0.38835588,0.0029721288,0.063612223,0.0037487014,0.019049658,0.0075554405,0.0214455,0.0019288171,23851.162,17967.287,1960.1351,0.36005881,0.0028029894,0.34176141,0.0028160538,0.0063602575,0.001062159,0.072246999,0.0038668665,23009.328,21692.615,0.32432979,0.0035972651,0.37975615,0.014590694,0.39365509,0.0042287782,0.29789668,0.0041579362,0.36525333,0.017280098,0.38352391,0.0041841608,0.0061681825,0.001546472,-0.00016657167,0.00055505842,0.0058323843,0.0015317074,0.130448,0.0075460565,0.045995843,0.017546611,0.036607597,0.0034924361,12329.158,9093.3242,1038.4357,11523.104,8872.3066,917.10272
800,Gastonia,0.34475291,0.0019236089,0.029947124,0.0016429892,50281.152,0.30255565,0.003080715,0.37173039,0.010322708,0.37068269,0.0026539785,0.051431671,0.0038495744,0.0067090155,0.0034557269,0.022735169,0.0017033919,32411.559,13850.924,2723.6233,0.35781789,0.0026597118,0.33183685,0.0027251448,0.0071925693,0.0011588524,0.055477299,0.0032110445,25470.594,24809.637,0.32024202,0.0039766151,0.37215781,0.01333081,0.37937424,0.0037834828,0.28388888,0.0047898963,0.37063792,0.01507134,0.36182341,0.0037542228,0.0092655411,0.0021308695,0.0026821406,0.0023299651,0.0065693231,0.0012852201,0.10232412,0.0079148347,0.010125872,0.0033495321,0.040156376,0.0034485133,16339.167,7015.0747,1299.7344,16064.446,6828.8198,1422.9058
900,Charlotte,0.35547766,0.0010868964,0.037519421,0.0010802089,164109.98,0.30790848,0.0012904605,0.39792061,0.0051719421,0.41225114,0.0018368257,0.055919945,0.0016820454,0.0095558055,0.0019433419,0.021650927,0.001170711,68097.008,76362.938,12905.567,0.37481582,0.001519638,0.33621636,0.0016114202,0.0044542691,0.00051523949,0.074811898,0.0020939303,83724.203,80372.625,0.33142689,0.0017419013,0.40344822,0.0071513094,0.42565167,0.0026077912,0.28278568,0.0020222277,0.3926861,0.0070783654,0.39911616,0.0025245566,0.0043389504,0.00064534607,0.0020890406,0.0012944239,0.0054073641,0.00081249513,0.11842179,0.0037153261,0.018114354,0.0031087482,0.038462684,0.0021490466,35032.813,38436.422,6965.335,33065.82,37904.957,5945.2051
1001,Boone,0.39041746,0.0054808129,0.012218387,0.0023537222,7766.1943,0.28463355,0.035781097,0.44714621,0.041882597,0.40119195,0.0056527518,0.022731546,0.008750408,0.0028654288,0.0052802772,0.01152356,0.0026743209,7345.6265,107.23553,126.70544,0.40480518,0.0078005851,0.37690601,0.0077220011,0.00037858833,0.00013574336,0.023360072,0.0045219343,4051.29,3714.6436,,,0.51236498,0.065037481,0.41435656,0.0079676397,0.3028751,0.047099344,0.40032986,0.054063246,0.38861278,0.0079767248,,,0.002493551,0.0075588152,0.0006611679,0.00031915004,0.051407702,0.054499876,0.014230244,0.025362033,0.022513505,0.0046806969,3796.4993,59.576206,82.581718,3548.5281,,47.666775
1002,Morganton,0.36971372,0.0032297189,0.023053382,0.00231328,20805.77,0.31318855,0.010291861,0.39526039,0.017730854,0.3833887,0.0038073787,0.048989225,0.012012404,0.016633606,0.010665687,0.020965217,0.0024034118,16511.941,1373.6508,1247.2532,0.3877807,0.0045907893,0.35393333,0.0044777645,0.0065266853,0.0016938517,0.038270917,0.0040141968,10730.346,10074.572,0.3274667,0.013124568,0.40531558,0.027945388,0.40204674,0.0054224683,0.29944167,0.015669974,0.38360295,0.024057543,0.36660993,0.00539573,0.010713162,0.0075154379,0.0046750722,0.0060816361,0.006722657,0.0017287259,0.086017109,0.022585865,0.024262561,0.015554617,0.034245741,0.0041458551,8380.8311,741.4906,772.70703,8135.0996,631.01361,485.54865
1100,Hickory,0.35440123,0.0020887784,0.028174836,0.001775503,43559.477,0.29779658,0.0040698359,0.38568541,0.0093539245,0.38095462,0.0027114686,0.064365305,0.0055347471,0.0099183312,0.003154089,0.019581679,0.0016581599,29552.316,8147.709,3348.4561,0.36858225,0.0033463757,0.34112382,0.0030973849,0.0056408048,0.0010148208,0.05244812,0.0034327973,22189.057,21366.012,0.30759221,0.0052327933,0.38466057,0.012140202,0.39623603,0.0038084525,0.28812715,0.0060586585,0.38575602,0.014579144,0.36579973,0.0038650676,0.010120245,0.003230267,0.0046340902,0.0028555025,0.0046119289,0.0011313187,0.1253777,0.011088022,0.015226537,0.0073139365,0.035441056,0.0032258581,15011.521,4110.1826,1782.7904,14539.071,4033.8887,1569.8002
1201,Franklin,0.40600118,0.0065803891,0.017549014,0.0036683951,5374.0098,0.42563751,0.06026959,0.38886991,0.036861543,0.42016765,0.0069287852,0.0012282789,0.018104684,0.0063931453,0.013942787,0.018122122,0.0039186887,4833.0498,106.8913,252.9529,0.4172698,0.0091874413,0.39520532,0.0093319649,0.0049670064,0.0026342506,0.030182028,0.0073932307,2725.6001,2649.3894,,,0.44269618,0.054871749,0.42944708,0.009740294,,,0.36072618,0.049258515,0.411158,0.0096291034,,,-0.012062618,0.011427103,0.0049486621,0.0024373876,,,0.014745868,0.029906197,0.030909624,0.0062366347,2431.3611,,142.53398,2403.113,,110.1506
1202,Sylva,0.39784676,0.0066172318,0.0088554807,0.0010174398,6998.8818,0.33391088,0.044968698,0.43569279,0.036146212,0.41642079,0.0078485915,0.040983725,0.049196389,0.0030711931,0.0055130976,0.0040228423,0.00084057887,4581.9756,109.21802,177.02055,0.4079161,0.0093475496,0.38845977,0.0090536326,0.00072587933,0.00022751179,0.016052021,0.0022250104,3641.7007,3354.9883,,,0.44201636,0.046536386,0.42546928,0.011532213,,,0.41598377,0.04957471,0.40840483,0.010483972,,,-0.0021670938,0.0063171154,0.00042508706,0.0005133677,,,0.0049625635,0.0090040565,0.0078071072,0.0015589612,2443.9102,,106.37642,2132.9856,,75.655334
1203,Asheville,0.38402158,0.0023015256,0.022574868,0.0016602093,39856.551,0.30576876,0.0053680893,0.39055932,0.011546209,0.40859345,0.002704374,0.062229637,0.007521661,0.01720074,0.006117702,0.016442439,0.0014046289,31517.289,4264.1284,2433.8779,0.39785373,0.0032229936,0.37122715,0.00323226,0.0059095323,0.0012309199,0.039333016,0.003137324,20806.008,19051.254,0.3214896,0.0075625693,0.3986837,0.016350029,0.4213073,0.0038352984,0.29280171,0.008426751,0.38148108,0.015653592,0.39641944,0.0037207347,0.0080501605,0.0036356829,0.0017253361,0.0010090066,0.0051321997,0.0012379622,0.11876091,0.014137805,0.031909801,0.013221923,0.027630199,0.0027381531,16411.146,2246.7009,1245.6956,15106.349,2018.4634,1183.5217
1204,Andrews,0.39439392,0.0052784337,0.018334903,0.003161669,7329.2695,0.27930874,0.042994849,0.45242664,0.037094813,0.41035253,0.0059337844,0.075010836,0.065271057,0.0034624082,0.0052047847,0.01773276,0.0032578737,6798.0854,98.056786,121.61787,0.41047147,0.0076862718,0.37826058,0.0077354573,0.0063771685,0.0025154108,0.029913504,0.0063239527,3737.0793,3589.7673,,,0.50782007,0.052957874,0.42430332,0.0083491867,0.27737162,0.052412458,0.38963413,0.053995799,0.39697304,0.0080612618,,,-0.0070194383,0.0091683604,0.0067906119,0.0027687266,,,-0.0056858095,0.010268516,0.029080654,0.0053213644,3466.0315,62.70649,59.165459,3329.134,,61.806446
1301,Bennettsville,0.33936301,0.0033802178,0.031212395,0.0031392435,13591.731,0.3105725,0.003968427,0.40583193,0.028869089,0.40374333,0.0066106324,0.042845778,0.0045510158,0.0039444729,0.0037943497,0.017494291,0.0037532407,4883.2534,7948.7681,288.94443,0.34829599,0.0046439897,0.33035794,0.0048243422,0.0023046737,0.00098280399,0.064889163,0.0061590616,6825.9673,6765.6694,0.312599,0.0049364306,0.43370843,0.041723333,0.41774657,0.0096326983,0.30766255,0.0062189153,0.37019807,0.040700596,0.39022171,0.0093619684,0.0012244713,0.00086481695,0.0045956615,0.011492636,0.0057767918,0.0029882127,0.094896615,0.010099986,0.0053149564,0.0063458965,0.030209247,0.0071306275,2459.4592,3994.0828,168.22083,2425.6504,3951.1621,121.98239
1302,Florence,0.35070416,0.0013202202,0.027408106,0.0011335819,86545.203,0.31605431,0.0016419208,0.37376454,0.010357685,0.40832725,0.0025039131,0.036400877,0.0015191226,0.0060027386,0.0010690449,0.017037278,0.0014095891,31900.934,52663.922,1857.2882,0.36249524,0.0018085375,0.33936009,0.0018894509,0.0029298491,0.00039349837,0.055508543,0.0022315353,43783.078,42749.945,0.32531735,0.0020357335,0.38967976,0.014284194,0.41903675,0.0035062244,0.30596474,0.0024907377,0.36043081,0.014241681,0.39809814,0.00351359,0.0018505682,0.0003411207,0.0036847908,0.0027126765,0.0043746694,0.00090470386,0.078325443,0.0035078034,0.0093342196,0.0032923634,0.030252224,0.0027088716,16188.576,26614.775,1022.3936,15710.204,26046.549,837.84473
1400,Fayetteville,0.33991903,0.001264727,0.028132912,0.00111644,104435.03,0.31193006,0.0016742825,0.39674377,0.0056193927,0.39464799,0.0025288877,0.040913891,0.0018082359,0.0092017921,0.002125643,0.017742297,0.0014568222,32010.098,46394.355,8267.6025,0.35703588,0.0017548687,0.32255989,0.0018329767,0.004136839,0.00049523974,0.056880374,0.0022272523,52769.637,51656.223,0.33192509,0.0021858208,0.41619757,0.0076802163,0.40902972,0.0036559701,0.29035792,0.0026244686,0.37668404,0.0075935028,0.38063246,0.0035679331,0.0039697564,0.00081609952,0.0021335268,0.0014079474,0.0044955099,0.00093875034,0.087501831,0.003905657,0.017066158,0.0034250489,0.03152249,0.0028875023,16346.582,23150.445,4327.2515,15664.823,23216.883,3938.6941
1500,Wilmington,0.35572052,0.0020488529,0.033103228,0.0018368253,41159.629,0.30423206,0.0027585845,0.39449465,0.012446849,0.40411294,0.0030413154,0.060535345,0.0039233095,0.011280361,0.0047901021,0.016108168,0.0017031895,20978.164,17887.959,1738.6807,0.375808,0.0029360619,0.3365424,0.0028924532,0.0054890476,0.0010116899,0.06416256,0.0036055825,20936.363,20223.838,0.32429698,0.0036838932,0.41325843,0.018060194,0.42021054,0.0043520355,0.28321692,0.0043137153,0.3742671,0.018092206,0.38867414,0.0043205339,0.0063572,0.0016056055,0.00044596597,0.0010999659,0.0046927435,0.0012758108,0.12558571,0.007970891,0.022613194,0.011475695,0.028132077,0.0031417678,10754.978,8884.0781,910.27075,10221.488,8996.2979,829.84705
1600,Wilson,0.34348848,0.0023302417,0.025844777,0.0019455954,32431.426,0.31189841,0.0025180185,0.37939668,0.012982682,0.42575815,0.005288309,0.032063033,0.002350833,0.018785883,0.0080475779,0.014057316,0.0026175298,8284.1289,22361.129,2418.1978,0.36271712,0.0032112857,0.32466263,0.0034003528,0.0029120846,0.00064852636,0.05229317,0.0040478567,16362.602,16061.833,0.33150998,0.0032659071,0.3808912,0.017645651,0.44486478,0.0075682513,0.29053798,0.0039204578,0.37769827,0.01784849,0.40756705,0.0070704063,0.0019816475,0.00076078769,0.014127492,0.010840089,0.0042074611,0.0019747757,0.069775902,0.005285338,0.023780521,0.011534013,0.024165727,0.0047893939,4257.3154,11132.299,1343.7637,4026.5364,11213.652,1071.5839
